Coal Mine Owner,Coal Mine Owner ABBRV,Coal/Lignite,Country,District Name,Govt Owned/Private,Latitude,Longitude,Mine Name,Mine Type,SL No.,State,Production
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6743,87.0333,Ningah Colliery,UG,1,West Bengal,0.01
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.668,87.2963,Jhanjhara Project Colly,UG,2,West Bengal,3.5
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6338,87.2037,"MAOHUSUDANPUR 7 PIT &
INCLINE",UG,3,West Bengal,0.04
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6377,87.1951, PARASCOLE(EAST),UG,4,West Bengal,0.1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6405,87.1855, PARASCOLE(WEST),UG,5,West Bengal,0.07
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6517,87.1734,Jambad UG,UG,6,West Bengal,0.16
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6205,87.1926,Khas Kajora,UG,7,West Bengal,0.17
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6007,87.1874,Central Kajora,UG,8,West Bengal,0.07
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6346,87.1793, NABAKJORA,UG,9,West Bengal,0.06
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6471,87.1594,Satgram Project,UG,10,West Bengal,0.04
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.57341,87.10873,EGARA & NARAYANKURI UNDER MAHABIR COLLIERY,UG,11,West Bengal,0.08
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6827,87.0703,Satgram Incline,UG,12,West Bengal,0.03
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6545,87.0449,CHAPUIKHAS COLLIERY,UG,13,West Bengal,0.03
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.649,87.067,J K NAGAR,UG,14,West Bengal,0.13
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6457,87.0872,PURE SEARSOLE,UG,15,West Bengal,0.05
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6155,87.086, AMRITNAGAR,UG,16,West Bengal,0.1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6499,87.1302, KUNUSTORIA,UG,17,West Bengal,0.11
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6517,87.1629, PARASEA,UG,18,West Bengal,0.16
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6577,87.141, BELBAID,UG,19,West Bengal,0.06
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6414,87.2228, KHANDRA,UG,20,West Bengal,0.07
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6483,87.2575, SHYAMSUNOERPUR,UG,21,West Bengal,0.83
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.667,87.2625, KUMARDIH A,UG,22,West Bengal,0.09
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6549,87.2821, TILABONI,UG,23,West Bengal,0.15
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6839,87.2382, SANKARPUR,UG,24,West Bengal,0.27
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6592,87.2367,BANKOLA,UG,25,West Bengal,0.2
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6543,87.1979, CL JAMBAD COLLY,UG,26,West Bengal,0.05
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.67752975,87.1692848, LOWER KENDA COTLY,UG,27,West Bengal,0.07
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6783,87.2023, CHORA 1O PIT COLLY,UG,28,West Bengal,0.04
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6639,87.1811,BAHULA,UG,29,West Bengal,0.15
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6749,87.1906, CHORA 7&9 PIT COLLY,UG,30,West Bengal,0.1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6499,87.2093, SIDULI COLLY,UG,31,West Bengal,0.09
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6853,86.8596, CHINAKURI-III,UG,32,West Bengal,0.06
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6946,86.8902, METHANI,UG,33,West Bengal,0.04
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6882,86.8545,Sodepur,UG,34,West Bengal,0.02
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6935,86.8753, BEJDIH,UG,35,West Bengal,0.03
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6901,86.9149,NARSUMUDA,UG,36,West Bengal,0.06
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6853,86.8903, PATMOHONA,UG,37,West Bengal,0.03
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7046,86.9087, DHEMOMAIN PIT,UG,38,West Bengal,0.03
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7046,86.9087, DHEMOMAIN INCLINE,UG,39,West Bengal,0.02
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7112,87.314," MANOERBONI & SOUTH SAMLAAMALGATEO, MINE",UG,40,West Bengal,0.08
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7183,87.2714, PANDAVESWAR,UG,41,West Bengal,0.1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7233,87.2419, KOTTADIH UG,UG,42,West Bengal,0.35
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.787,86.876, BONJEMEHARI (EXTN),OC,43,West Bengal,0.41
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7867,86.951, MOHANPUR (EXPN),OC,44,West Bengal,1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.8153,86.9947, GOURANOIH EXPN,OC,45,West Bengal,0.1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7895,86.9173, DABAR PH III,OC,46,West Bengal,1.03
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7879,86.9786, ITAPARA,OC,47,West Bengal,0.05
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.805,87.02553,GOURANDIH BEGUNIA,OC,48,West Bengal,1.02
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6673,87.012, KALIPAHARI OC PATCH A,OC,49,West Bengal,0.06
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7011,87.2054, SONEPUR BAZARI PROJECT,OC,50,West Bengal,11.1
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.654,87.177, JAMBAD,OC,51,West Bengal,0.59
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6626,87.1142, NORTH SEARSOLE,OC,52,West Bengal,0.65
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7244,87.233,KHOTADIH OC,OC,53,West Bengal,1.16
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7168,87.266,DALURBANDH,OC,54,West Bengal,0.55
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7276,86.9943,BHANORA W/B (UG & OC),Mixed,55,West Bengal,0.48
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6313,87.1746,"MADHABPUR UG & MADHABPUR
OC",Mixed,56,West Bengal,0.38
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7495,86.8572,NIMCHA COLLY,Mixed,57,West Bengal,0.34
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6296,87.1382,BANSRA,Mixed,58,West Bengal,0.73
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.67963,87.28763,NAKRAKONDA.KUMARDIH B,Mixed,59,West Bengal,0.18
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6729,87.2033,"CHORA BLOCK INCLINE,
SHANKARPUR OC &
BONBAHAL OC",Mixed,60,West Bengal,0.74
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.6657,87.1624,NEW KENDA UG & OC,Mixed,61,West Bengal,0.16
Bharat Coking Coal Limited,BCCL,Coal,India,Paschim Bardhaman,Government,23.7611,86.8531,DAMAGORIA,OC,62,West Bengal,0.14
Eastern Coalfields Limited,ECL,Coal,India,Paschim Bardhaman,Government,23.7037,87.3467,MADHAIPUR,Mixed,63,West Bengal,0.37
The Calcutta Electric SupplyCorporation,CESC,Coal,India,Paschim Bardhaman,Private,23.8012,87.0356,Sarisatolli (CAPTIVE),OC,64,West Bengal,1.856
Steel Authority of India Limited,SAIL,Coal,India,Paschim Bardhaman,Government,23.7564,86.8359,Ramnagar coal mine (CAPTIVE),OC,65,West Bengal,0.23
OCL Iron Steel Limited,OCL Iron Steel Limited,Coal,India,Bankura,Private,23.5827,87.0861,Ardhagram Coal Mine (CAPTIVE),OC,66,West Bengal,0.161
Eastern Coalfields Limited,ECL,Coal,India,Bankura,Government,23.5939,87.0365, KALIDASPUR PROJECT,UG,67,West Bengal,0.09
Eastern Coalfields Limited,ECL,Coal,India,Purulia,Government,23.6733,86.8257, PARBELIA,UG,68,West Bengal,0.06
Eastern Coalfields Limited,ECL,Coal,India,Purulia,Government,23.6615,86.8235, DUBESWARI,UG,69,West Bengal,0.06
West Bengal Power Development Corporation,WBPDCL,Coal,India,Birbhum,State Government,23.7454,87.2264,Barjora Coal Mine,OC,70,West Bengal,0.4
Eastern Coalfields Limited,ECL,Coal,India,Godda,Government,25.038,87.3538,RAJMAHAL,OC,71,Jharkhand,17.37
Eastern Coalfields Limited,ECL,Coal,India,Godda,Government,24.9867,87.3808,HURRA 'C',OC,72,Jharkhand,0
Eastern Coalfields Limited,ECL,Coal,India,Deoghar,Government,24.119,86.8636,CHITRA EAST,OC,73,Jharkhand,2.05
Steel Authority of India Limited,SAIL,Coal,India,Dhanbad,Government,23.6532,86.4704,Tasra (CAPTIVE),OC,74,Jharkhand,0.185
IISCO Steel Plant of Steel Authority of India Limited,IISCO,Coal,India,Dhanbad,Government,23.71510714,86.39069484,Jitpur (CAPTIVE),OC,75,Jharkhand,0.092
IISCO Steel Plant of Steel Authority of India Limited,IISCO,Coal,India,Dhanbad,Government,23.665,86.4568,Chasnala (CAPTIVE),OC,76,Jharkhand,0.35
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.8004,86.6957, BADJNA,UG,77,Jharkhand,0.07
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7926,86.6903,HARIAJAM,UG,78,Jharkhand,0.06
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7729,86.7314,LAKHIMATA,UG,79,Jharkhand,0.08
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7623,86.7321,SHAYAMPUR-B,UG,80,Jharkhand,0.08
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7464,86.7962,KUMARDHUBI,UG,81,Jharkhand,0.03
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7738,86.7297,KHOODIA,UG,82,Jharkhand,0.04
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7586,86.7731,RAJPURA,OC,83,Jharkhand,0.21
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7525,86.812,BARMURI,OC,84,Jharkhand,0.43
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7585,86.7545,KAPASARA,OC,85,Jharkhand,0.4
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.7873,86.7058,NIRSHA,OC,86,Jharkhand,0.19
Eastern Coalfields Limited,ECL,Coal,India,Dhanbad,Government,23.8049,86.6755, CHAPAPUR -II,Mixed,87,Jharkhand,0.18
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.8087,86.26037,JOGIDIH,UG,88,Jharkhand,0.04
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7773,86.2391,KHARKAREE,UG,89,Jharkhand,0.02
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.7864,86.2556,MAHESHPUR,UG,90,Jharkhand,0.02
Bharat Coking Coal Limited,BCCL,Coal,India,Dhanbad,Government,23.8083,86.298,SALANPUR,UG,91,Jharkhand,0.07
